Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.955,,Pancreas,males,males,1,Black,0.045,1980
0.379,,Prostate,males,males,1,Black,0.621,1980
0.844,,Stomach,males,males,1,Black,0.156,1980
0.32,,Thyroid,males,males,1,Black,0.68,1980
0.899,,Lung and bronchus,males,males,1,Black,0.101,1983
0.704,,Myeloma,males,males,1,Black,0.296,1983
0.963,,Pancreas,males,males,1,Black,0.037,1983
0.372,,Prostate,males,males,1,Black,0.628,1983
0.838,,Stomach,males,males,1,Black,0.162,1983
0,,Thyroid,males,males,1,Black,1,1983
0.897,,Lung and bronchus,males,males,1,Black,0.103,1986
0.667,,Myeloma,males,males,1,Black,0.333,1986
0.961,,Pancreas,males,males,1,Black,0.039,1986
0.343,,Prostate,males,males,1,Black,0.657,1986
0.831,,Stomach,males,males,1,Black,0.169,1986
0.145,,Thyroid,males,males,1,Black,0.855,1986
0.892,,Lung and bronchus,males,males,1,Black,0.108,1989
0.703,,Myeloma,males,males,1,Black,0.297,1989
0.949,,Pancreas,males,males,1,Black,0.051,1989
0.289,,Prostate,males,males,1,Black,0.711,1989
0.834,,Stomach,males,males,1,Black,0.166,1989
0.088,,Thyroid,males,males,1,Black,0.912,1989
0.907,,Lung and bronchus,males,males,1,Black,0.093,1992
0.62,,Myeloma,males,males,1,Black,0.38,1992
0.968,,Pancreas,males,males,1,Black,0.032,1992
0.156,,Prostate,males,males,1,Black,0.844,1992
0.78,,Stomach,males,males,1,Black,0.22,1992
0.155,,Thyroid,males,males,1,Black,0.845,1992
0.888,,Lung and bronchus,males,males,1,Black,0.112,1995
0.651,,Myeloma,males,males,1,Black,0.349,1995
0.964,,Pancreas,males,males,1,Black,0.036,1995
0.083,,Prostate,males,males,1,Black,0.917,1995
0.334,,Skin,males,males,1,Black,0.666,1995
0.825,,Stomach,males,males,1,Black,0.175,1995
0.122,,Thyroid,males,males,1,Black,0.878,1995
0.893,,Lung and bronchus,males,males,1,Black,0.107,1998
0.672,,Myeloma,males,males,1,Black,0.328,1998
0.969,,Pancreas,males,males,1,Black,0.031,1998
0.051,,Prostate,males,males,1,Black,0.949,1998
0.32,,Skin,males,males,1,Black,0.68,1998
0.796,,Stomach,males,males,1,Black,0.204,1998
0.135,,Thyroid,males,males,1,Black,0.865,1998
0.892,,Lung and bronchus,males,males,1,Black,0.108,2001
0.633,,Myeloma,males,males,1,Black,0.367,2001
0.963,,Pancreas,males,males,1,Black,0.037,2001
0.027,,Prostate,males,males,1,Black,0.973,2001
0.304,,Skin,males,males,1,Black,0.696,2001
0.75,,Stomach,males,males,1,Black,0.25,2001
0.116,,Thyroid,males,males,1,Black,0.884,2001
0.873,,Lung and bronchus,males,males,1,Black,0.127,2006
0.578,,Myeloma,males,males,1,Black,0.422,2006
0.957,,Pancreas,males,males,1,Black,0.043,2006
0.022,,Prostate,males,males,1,Black,0.978,2006
0.3,,Skin,males,males,1,Black,0.7,2006
0.764,,Stomach,males,males,1,Black,0.236,2006
0.05,,Thyroid,males,males,1,Black,0.95,2006
0.858,0.142,Lung and bronchus,males,males,1,Black,0.142,2013
0.495,0.505,Myeloma,males,males,1,Black,0.505,2013
0.926,0.074,Pancreas,males,males,1,Black,0.074,2013
0.026,0.974,Prostate,males,males,1,Black,0.974,2013
0.405,0.595,Skin,males,males,1,Black,0.595,2013
0.743,0.257,Stomach,males,males,1,Black,0.257,2013
0.092,0.908,Thyroid,males,males,1,Black,0.908,2013
0.95,,Lung and bronchus,total,total,1,Black,0.05,1963
0.68,,Ovary,total,total,1,Black,0.32,1963
0.99,,Pancreas,total,total,1,Black,0.01,1963
0.65,,Prostate,total,total,1,Black,0.35,1963
0.92,,Stomach,total,total,1,Black,0.08,1963
0.93,,Lung and bronchus,total,total,1,Black,0.07,1973
0.68,,Ovary,total,total,1,Black,0.32,1973
0.98,,Pancreas,total,total,1,Black,0.02,1973
0.45,,Prostate,total,total,1,Black,0.55,1973
0.87,,Stomach,total,total,1,Black,0.13,1973
0.888,,Lung and bronchus,total,total,1,Black,0.112,1977
0.707,,Myeloma,total,total,1,Black,0.293,1977
0.587,,Ovary,total,total,1,Black,0.413,1977
0.977,,Pancreas,total,total,1,Black,0.023,1977
0.393,,Prostate,total,total,1,Black,0.607,1977
0.433,,Skin,total,total,1,Black,0.567,1977
0.839,,Stomach,total,total,1,Black,0.161,1977
0.101,,Thyroid,total,total,1,Black,0.899,1977
0.883,,Lung and bronchus,total,total,1,Black,0.117,1980
0.675,,Myeloma,total,total,1,Black,0.325,1980
0.612,,Ovary,total,total,1,Black,0.388,1980
0.943,,Pancreas,total,total,1,Black,0.057,1980
0.379,,Prostate,total,total,1,Black,0.621,1980
0.402,,Skin,total,total,1,Black,0.598,1980
0.836,,Stomach,total,total,1,Black,0.164,1980
0.098,,Thyroid,total,total,1,Black,0.902,1980
0.887,,Lung and bronchus,total,total,1,Black,0.113,1983
0.711,,Myeloma,total,total,1,Black,0.289,1983
0.625,,Ovary,total,total,1,Black,0.375,1983
0.964,,Pancreas,total,total,1,Black,0.036,1983
0.372,,Prostate,total,total,1,Black,0.628,1983
0.381,,Skin,total,total,1,Black,0.619,1983
0.836,,Stomach,total,total,1,Black,0.164,1983
0.036,,Thyroid,total,total,1,Black,0.964,1983
0.889,,Lung and bronchus,total,total,1,Black,0.111,1986
0.682,,Myeloma,total,total,1,Black,0.318,1986
0.606,,Ovary,total,total,1,Black,0.394,1986
0.953,,Pancreas,total,total,1,Black,0.047,1986
0.343,,Prostate,total,total,1,Black,0.657,1986
0.277,,Skin,total,total,1,Black,0.723,1986
0.809,,Stomach,total,total,1,Black,0.191,1986
0.107,,Thyroid,total,total,1,Black,0.893,1986
0.891,,Lung and bronchus,total,total,1,Black,0.109,1989
0.7,,Myeloma,total,total,1,Black,0.3,1989
0.661,,Ovary,total,total,1,Black,0.339,1989
0.945,,Pancreas,total,total,1,Black,0.055,1989
0.289,,Prostate,total,total,1,Black,0.711,1989
0.214,,Skin,total,total,1,Black,0.786,1989
0.812,,Stomach,total,total,1,Black,0.188,1989
0.077,,Thyroid,total,total,1,Black,0.923,1989
0.895,,Lung and bronchus,total,total,1,Black,0.105,1992
0.658,,Myeloma,total,total,1,Black,0.342,1992
0.645,,Ovary,total,total,1,Black,0.355,1992
0.964,,Pancreas,total,total,1,Black,0.036,1992
0.156,,Prostate,total,total,1,Black,0.844,1992
0.404,,Skin,total,total,1,Black,0.596,1992
0.773,,Stomach,total,total,1,Black,0.227,1992
0.142,,Thyroid,total,total,1,Black,0.858,1992
0.872,,Lung and bronchus,total,total,1,Black,0.128,1995
0.646,,Myeloma,total,total,1,Black,0.354,1995
0.585,,Ovary,total,total,1,Black,0.415,1995
0.963,,Pancreas,total,total,1,Black,0.037,1995
0.083,,Prostate,total,total,1,Black,0.917,1995
0.305,,Skin,total,total,1,Black,0.695,1995
0.807,,Stomach,total,total,1,Black,0.193,1995
0.068000000,,Thyroid,total,total,1,Black,0.932,1995
0.877,,Lung and bronchus,total,total,1,Black,0.123,1998
0.686,,Myeloma,total,total,1,Black,0.314,1998
0.608,,Ovary,total,total,1,Black,0.392,1998
0.966,,Pancreas,total,total,1,Black,0.034,1998
0.051,,Prostate,total,total,1,Black,0.949,1998
0.261,,Skin,total,total,1,Black,0.739,1998
0.774,,Stomach,total,total,1,Black,0.226,1998
0.05,,Thyroid,total,total,1,Black,0.95,1998
0.874,,Lung and bronchus,total,total,1,Black,0.126,2001
0.659,,Myeloma,total,total,1,Black,0.341,2001
0.644,,Ovary,total,total,1,Black,0.356,2001
0.944,,Pancreas,total,total,1,Black,0.056,2001
0.027,,Prostate,total,total,1,Black,0.973,2001
0.268,,Skin,total,total,1,Black,0.732,2001
0.768,,Stomach,total,total,1,Black,0.232,2001
0.08,,Thyroid,total,total,1,Black,0.92,2001
0.866,,Lung and bronchus,total,total,1,Black,0.134,2006
0.556,,Myeloma,total,total,1,Black,0.444,2006
0.627,,Ovary,total,total,1,Black,0.373,2006
0.95,,Pancreas,total,total,1,Black,0.05,2006
0.022,,Prostate,total,total,1,Black,0.978,2006
0.271,,Skin,total,total,1,Black,0.729,2006
0.714,,Stomach,total,total,1,Black,0.286,2006
0.034,,Thyroid,total,total,1,Black,0.966,2006
0.827,0.173,Lung and bronchus,total,total,1,Black,0.173,2013
0.477,0.523,Myeloma,total,total,1,Black,0.523,2013
0.615,0.385,Ovary,total,total,1,Black,0.385,2013
0.925,0.075,Pancreas,total,total,1,Black,0.075,2013
0.026,0.974,Prostate,total,total,1,Black,0.974,2013
0.31,0.69,Skin,total,total,1,Black,0.69,2013
0.686,0.314,Stomach,total,total,1,Black,0.314,2013
0.031,0.969,Thyroid,total,total,1,Black,0.969,2013
0.89,,Lung and bronchus,females,females,1,White,0.11,1963
0.9,,Myeloma,females,females,1,White,0.1,1963
0.68,,Ovary,females,females,1,White,0.32,1963
0.98,,Pancreas,females,females,1,White,0.02,1963
0.32,,Skin,females,females,1,White,0.68,1963
0.87,,Stomach,females,females,1,White,0.13,1963
0.13,,Thyroid,females,females,1,White,0.87,1963
0.86,,Lung and bronchus,females,females,1,White,0.14,1973
0.83,,Myeloma,females,females,1,White,0.17,1973
0.64,,Ovary,females,females,1,White,0.36,1973
0.98,,Pancreas,females,females,1,White,0.02,1973
0.25,,Skin,females,females,1,White,0.75,1973
0.86,,Stomach,females,females,1,White,0.14,1973
0.13,,Thyroid,females,females,1,White,0.87,1973
0.846,,Lung and bronchus,females,females,1,White,0.154,1977
0.753,,Myeloma,females,females,1,White,0.247,1977
0.647,,Ovary,females,females,1,White,0.353,1977
0.977,,Pancreas,females,females,1,White,0.023,1977
0.138,,Skin,females,females,1,White,0.862,1977
0.842,,Stomach,females,females,1,White,0.158,1977
0.078,,Thyroid,females,females,1,White,0.922,1977
0.838,,Lung and bronchus,females,females,1,White,0.162,1980
0.745,,Myeloma,females,females,1,White,0.255,1980
0.631,,Ovary,females,females,1,White,0.369,1980
0.975,,Pancreas,females,females,1,White,0.025,1980
0.121,,Skin,females,females,1,White,0.879,1980
0.818,,Stomach,females,females,1,White,0.182,1980
0.073,,Thyroid,females,females,1,White,0.927,1980
0.834,,Lung and bronchus,females,females,1,White,0.166,1983
0.711,,Myeloma,females,females,1,White,0.289,1983
0.615,,Ovary,females,females,1,White,0.385,1983
0.97,,Pancreas,females,females,1,White,0.03,1983
0.128,,Skin,females,females,1,White,0.872,1983
0.825,,Stomach,females,females,1,White,0.175,1983
0.063000000,,Thyroid,females,females,1,White,0.937,1983
0.837,,Lung and bronchus,females,females,1,White,0.163,1986
0.738,,Myeloma,females,females,1,White,0.262,1986
0.625,,Ovary,females,females,1,White,0.375,1986
0.969,,Pancreas,females,females,1,White,0.031,1986
0.09,,Skin,females,females,1,White,0.91,1986
0.791,,Stomach,females,females,1,White,0.209,1986
0.056,,Thyroid,females,females,1,White,0.944,1986
0.847,,Lung and bronchus,females,females,1,White,0.153,1989
0.755,,Myeloma,females,females,1,White,0.245,1989
0.618,,Ovary,females,females,1,White,0.382,1989
0.967,,Pancreas,females,females,1,White,0.033,1989
0.087,,Skin,females,females,1,White,0.913,1989
0.769,,Stomach,females,females,1,White,0.231,1989
0.051,,Thyroid,females,females,1,White,0.949,1989
0.838,,Lung and bronchus,females,females,1,White,0.162,1992
0.731,,Myeloma,females,females,1,White,0.269,1992
0.596,,Ovary,females,females,1,White,0.404,1992
0.955,,Pancreas,females,females,1,White,0.045,1992
0.082,,Skin,females,females,1,White,0.918,1992
0.768,,Stomach,females,females,1,White,0.232,1992
0.04,,Thyroid,females,females,1,White,0.96,1992
0.829,,Lung and bronchus,females,females,1,White,0.171,1995
0.705,,Myeloma,females,females,1,White,0.295,1995
0.594,,Ovary,females,females,1,White,0.406,1995
0.958,,Pancreas,females,females,1,White,0.042,1995
0.074,,Skin,females,females,1,White,0.926,1995
0.781,,Stomach,females,females,1,White,0.219,1995
0.031,,Thyroid,females,females,1,White,0.969,1995
0.83,,Lung and bronchus,females,females,1,White,0.17,1998
0.701,,Myeloma,females,females,1,White,0.299,1998
0.567,,Ovary,females,females,1,White,0.433,1998
0.964,,Pancreas,females,females,1,White,0.036,1998
0.073,,Skin,females,females,1,White,0.927,1998
0.768,,Stomach,females,females,1,White,0.232,1998
0.027,,Thyroid,females,females,1,White,0.973,1998
0.82,,Lung and bronchus,females,females,1,White,0.18,2001
0.685,,Myeloma,females,females,1,White,0.315,2001
0.564,,Ovary,females,females,1,White,0.436,2001
0.956,,Pancreas,females,females,1,White,0.044,2001
0.054,,Skin,females,females,1,White,0.946,2001
0.756,,Stomach,females,females,1,White,0.244,2001
0.026,,Thyroid,females,females,1,White,0.974,2001
0.803,,Lung and bronchus,females,females,1,White,0.197,2006
0.58,,Myeloma,females,females,1,White,0.42,2006
0.561,,Ovary,females,females,1,White,0.439,2006
0.934,,Pancreas,females,females,1,White,0.066,2006
0.046,,Skin,females,females,1,White,0.954,2006
0.707,,Stomach,females,females,1,White,0.293,2006
0.015,,Thyroid,females,females,1,White,0.985,2006
0.774,0.226,Lung and bronchus,females,females,1,White,0.226,2013
0.489,0.511,Myeloma,females,females,1,White,0.511,2013
0.538,0.462,Ovary,females,females,1,White,0.462,2013
0.917,0.083,Pancreas,females,females,1,White,0.083,2013
0.043,0.957,Skin,females,females,1,White,0.957,2013
0.669,0.331,Stomach,females,females,1,White,0.331,2013
0.01,0.99,Thyroid,females,females,1,White,0.99,2013
0.93,,Lung and bronchus,males,males,1,White,0.07,1963
0.87,,Myeloma,males,males,1,White,0.13,1963
0.99,,Pancreas,males,males,1,White,0.01,1963
0.5,,Prostate,males,males,1,White,0.5,1963
0.49,,Skin,males,males,1,White,0.51,1963
0.9,,Stomach,males,males,1,White,0.1,1963
0.25,,Thyroid,males,males,1,White,0.75,1963
0.91,,Lung and bronchus,males,males,1,White,0.09,1973
0.8,,Myeloma,males,males,1,White,0.2,1973
0.98,,Pancreas,males,males,1,White,0.02,1973
0.37,,Prostate,males,males,1,White,0.63,1973
0.38,,Skin,males,males,1,White,0.62,1973
0.88,,Stomach,males,males,1,White,0.12,1973
0.18,,Thyroid,males,males,1,White,0.82,1973
0.889,,Lung and bronchus,males,males,1,White,0.111,1977
0.764,,Myeloma,males,males,1,White,0.236,1977
0.973,,Pancreas,males,males,1,White,0.027,1977
0.315,,Prostate,males,males,1,White,0.685,1977
0.223,,Skin,males,males,1,White,0.777,1977
0.869,,Stomach,males,males,1,White,0.131,1977
0.093,,Thyroid,males,males,1,White,0.907,1977
0.885,,Lung and bronchus,males,males,1,White,0.115,1980
0.759,,Myeloma,males,males,1,White,0.241,1980
0.974,,Pancreas,males,males,1,White,0.026,1980
0.288,,Prostate,males,males,1,White,0.712,1980
0.221,,Skin,males,males,1,White,0.779,1980
0.864,,Stomach,males,males,1,White,0.136,1980
0.125,,Thyroid,males,males,1,White,0.875,1980
0.883,,Lung and bronchus,males,males,1,White,0.117,1983
0.746,,Myeloma,males,males,1,White,0.254,1983
0.979,,Pancreas,males,males,1,White,0.021,1983
0.269,,Prostate,males,males,1,White,0.731,1983
0.216,,Skin,males,males,1,White,0.784,1983
0.846,,Stomach,males,males,1,White,0.154,1983
0.091,,Thyroid,males,males,1,White,0.909,1983
0.888,,Lung and bronchus,males,males,1,White,0.112,1986
0.742,,Myeloma,males,males,1,White,0.258,1986
0.979,,Pancreas,males,males,1,White,0.021,1986
0.236,,Prostate,males,males,1,White,0.764,1986
0.178,,Skin,males,males,1,White,0.822,1986
0.857,,Stomach,males,males,1,White,0.143,1986
0.106,,Thyroid,males,males,1,White,0.894,1986
0.88,,Lung and bronchus,males,males,1,White,0.12,1989
0.709,,Myeloma,males,males,1,White,0.291,1989
0.969,,Pancreas,males,males,1,White,0.031,1989
0.156,,Prostate,males,males,1,White,0.844,1989
0.151,,Skin,males,males,1,White,0.849,1989
0.845,,Stomach,males,males,1,White,0.155,1989
0.085,,Thyroid,males,males,1,White,0.915,1989
0.875,,Lung and bronchus,males,males,1,White,0.125,1992
0.704,,Myeloma,males,males,1,White,0.296,1992
0.958,,Pancreas,males,males,1,White,0.042,1992
0.059000000,,Prostate,males,males,1,White,0.941,1992
0.129,,Skin,males,males,1,White,0.871,1992
0.839,,Stomach,males,males,1,White,0.161,1992
0.084,,Thyroid,males,males,1,White,0.916,1992
0.874,,Lung and bronchus,males,males,1,White,0.126,1995
0.687,,Myeloma,males,males,1,White,0.313,1995
0.964,,Pancreas,males,males,1,White,0.036,1995
0.041,,Prostate,males,males,1,White,0.959,1995
0.129,,Skin,males,males,1,White,0.871,1995
0.811,,Stomach,males,males,1,White,0.189,1995
0.085,,Thyroid,males,males,1,White,0.915,1995
0.869,,Lung and bronchus,males,males,1,White,0.131,1998
0.657,,Myeloma,males,males,1,White,0.343,1998
0.953,,Pancreas,males,males,1,White,0.047,1998
0.021,,Prostate,males,males,1,White,0.979,1998
0.107,,Skin,males,males,1,White,0.893,1998
0.814,,Stomach,males,males,1,White,0.186,1998
0.087,,Thyroid,males,males,1,White,0.913,1998
0.867,,Lung and bronchus,males,males,1,White,0.133,2001
0.632,,Myeloma,males,males,1,White,0.368,2001
0.945,,Pancreas,males,males,1,White,0.055,2001
0.003,,Prostate,males,males,1,White,0.997,2001
0.098,,Skin,males,males,1,White,0.902,2001
0.79,,Stomach,males,males,1,White,0.21,2001
0.05,,Thyroid,males,males,1,White,0.95,2001
0.852,,Lung and bronchus,males,males,1,White,0.148,2006
0.538,,Myeloma,males,males,1,White,0.462,2006
0.941,,Pancreas,males,males,1,White,0.059,2006
0.002,,Prostate,males,males,1,White,0.998,2006
0.086,,Skin,males,males,1,White,0.914,2006
0.745,,Stomach,males,males,1,White,0.255,2006
0.049,,Thyroid,males,males,1,White,0.951,2006
0.831,0.169,Lung and bronchus,males,males,1,White,0.169,2013
0.499,0.501,Myeloma,males,males,1,White,0.501,2013
0.907,0.093,Pancreas,males,males,1,White,0.093,2013
0.004,0.996,Prostate,males,males,1,White,0.996,2013
0.081,0.919,Skin,males,males,1,White,0.919,2013
0.719,0.281,Stomach,males,males,1,White,0.281,2013
0.035,0.965,Thyroid,males,males,1,White,0.965,2013
0.92,,Lung and bronchus,total,total,1,White,0.08,1963
0.88,,Myeloma,total,total,1,White,0.12,1963
0.68,,Ovary,total,total,1,White,0.32,1963
0.99,,Pancreas,total,total,1,White,0.01,1963
0.5,,Prostate,total,total,1,White,0.5,1963
0.4,,Skin,total,total,1,White,0.6,1963
0.89,,Stomach,total,total,1,White,0.11,1963
0.17,,Thyroid,total,total,1,White,0.83,1963
0.9,,Lung and bronchus,total,total,1,White,0.1,1973
0.81,,Myeloma,total,total,1,White,0.19,1973
0.64,,Ovary,total,total,1,White,0.36,1973
0.98,,Pancreas,total,total,1,White,0.02,1973
0.37,,Prostate,total,total,1,White,0.63,1973
0.32,,Skin,total,total,1,White,0.68,1973
0.87,,Stomach,total,total,1,White,0.13,1973
0.14,,Thyroid,total,total,1,White,0.86,1973
0.877,,Lung and bronchus,total,total,1,White,0.123,1977
0.759,,Myeloma,total,total,1,White,0.241,1977
0.647,,Ovary,total,total,1,White,0.353,1977
0.975,,Pancreas,total,total,1,White,0.025,1977
0.315,,Prostate,total,total,1,White,0.685,1977
0.18,,Skin,total,total,1,White,0.82,1977
0.859,,Stomach,total,total,1,White,0.141,1977
0.082,,Thyroid,total,total,1,White,0.918,1977
0.871,,Lung and bronchus,total,total,1,White,0.129,1980
0.752,,Myeloma,total,total,1,White,0.248,1980
0.631,,Ovary,total,total,1,White,0.369,1980
0.975,,Pancreas,total,total,1,White,0.025,1980
0.288,,Prostate,total,total,1,White,0.712,1980
0.171,,Skin,total,total,1,White,0.829,1980
0.846,,Stomach,total,total,1,White,0.154,1980
0.085,,Thyroid,total,total,1,White,0.915,1980
0.867,,Lung and bronchus,total,total,1,White,0.133,1983
0.728,,Myeloma,total,total,1,White,0.272,1983
0.615,,Ovary,total,total,1,White,0.385,1983
0.975,,Pancreas,total,total,1,White,0.025,1983
0.269,,Prostate,total,total,1,White,0.731,1983
0.173,,Skin,total,total,1,White,0.827,1983
0.838,,Stomach,total,total,1,White,0.162,1983
0.069,,Thyroid,total,total,1,White,0.931,1983
0.87,,Lung and bronchus,total,total,1,White,0.13,1986
0.74,,Myeloma,total,total,1,White,0.26,1986
0.625,,Ovary,total,total,1,White,0.375,1986
0.974,,Pancreas,total,total,1,White,0.026,1986
0.236,,Prostate,total,total,1,White,0.764,1986
0.136,,Skin,total,total,1,White,0.864,1986
0.832,,Stomach,total,total,1,White,0.168,1986
0.068000000,,Thyroid,total,total,1,White,0.932,1986
0.867,,Lung and bronchus,total,total,1,White,0.133,1989
0.731,,Myeloma,total,total,1,White,0.269,1989
0.618,,Ovary,total,total,1,White,0.382,1989
0.968,,Pancreas,total,total,1,White,0.032,1989
0.156,,Prostate,total,total,1,White,0.844,1989
0.121,,Skin,total,total,1,White,0.879,1989
0.817,,Stomach,total,total,1,White,0.183,1989
0.059000000,,Thyroid,total,total,1,White,0.941,1989
0.86,,Lung and bronchus,total,total,1,White,0.14,1992
0.716,,Myeloma,total,total,1,White,0.284,1992
0.596,,Ovary,total,total,1,White,0.404,1992
0.956,,Pancreas,total,total,1,White,0.044,1992
0.059000000,,Prostate,total,total,1,White,0.941,1992
0.107,,Skin,total,total,1,White,0.893,1992
0.812,,Stomach,total,total,1,White,0.188,1992
0.051,,Thyroid,total,total,1,White,0.949,1992
0.855,,Lung and bronchus,total,total,1,White,0.145,1995
0.695,,Myeloma,total,total,1,White,0.305,1995
0.594,,Ovary,total,total,1,White,0.406,1995
0.961,,Pancreas,total,total,1,White,0.039,1995
0.041,,Prostate,total,total,1,White,0.959,1995
0.104,,Skin,total,total,1,White,0.896,1995
0.8,,Stomach,total,total,1,White,0.2,1995
0.044,,Thyroid,total,total,1,White,0.956,1995
0.852,,Lung and bronchus,total,total,1,White,0.148,1998
0.678,,Myeloma,total,total,1,White,0.322,1998
0.567,,Ovary,total,total,1,White,0.433,1998
0.959,,Pancreas,total,total,1,White,0.041,1998
0.021,,Prostate,total,total,1,White,0.979,1998
0.091,,Skin,total,total,1,White,0.909,1998
0.797,,Stomach,total,total,1,White,0.203,1998
0.041,,Thyroid,total,total,1,White,0.959,1998
0.845,,Lung and bronchus,total,total,1,White,0.155,2001
0.655,,Myeloma,total,total,1,White,0.345,2001
0.564,,Ovary,total,total,1,White,0.436,2001
0.95,,Pancreas,total,total,1,White,0.05,2001
0.003,,Prostate,total,total,1,White,0.997,2001
0.078,,Skin,total,total,1,White,0.922,2001
0.777,,Stomach,total,total,1,White,0.223,2001
0.031,,Thyroid,total,total,1,White,0.969,2001
0.829,,Lung and bronchus,total,total,1,White,0.171,2006
0.557,,Myeloma,total,total,1,White,0.443,2006
0.561,,Ovary,total,total,1,White,0.439,2006
0.938,,Pancreas,total,total,1,White,0.062,2006
0.002,,Prostate,total,total,1,White,0.998,2006
0.068000000,,Skin,total,total,1,White,0.932,2006
0.731,,Stomach,total,total,1,White,0.269,2006
0.022,,Thyroid,total,total,1,White,0.978,2006
0.804,0.196,Lung and bronchus,total,total,1,White,0.196,2013
0.494,0.506,Myeloma,total,total,1,White,0.506,2013
0.538,0.462,Ovary,total,total,1,White,0.462,2013
0.911,0.089,Pancreas,total,total,1,White,0.089,2013
0.004,0.996,Prostate,total,total,1,White,0.996,2013
0.064000000,0.936,Skin,total,total,1,White,0.936,2013
0.701,0.299,Stomach,total,total,1,White,0.299,2013
0.016,0.984,Thyroid,total,total,1,White,0.984,2013
