Country Code,Country Name,Health Expenditure,Life Expectancy,Number of Records,Year
AUS,Australia,223.592,71.068292683,1,1971
AUS,Australia,239.1784,71.457560976,1,1972
AUS,Australia,264.0303,71.846829268,1,1973
AUS,Australia,322.3286,72.236097561,1,1974
AUS,Australia,401.8512,72.625365854,1,1975
AUS,Australia,430.061,73.014634146,1,1976
AUS,Australia,472.8991,73.344390244,1,1977
AUS,Australia,510.7161,73.674146341,1,1978
AUS,Australia,554.7626,74.003902439,1,1979
AUS,Australia,615.7256,74.333658537,1,1980
AUS,Australia,697.3706,74.663414634,1,1981
AUS,Australia,731.9027,74.904878049,1,1982
AUS,Australia,773.4711,75.146341463,1,1983
AUS,Australia,817.2866,75.387804878,1,1984
AUS,Australia,881.2391,75.629268293,1,1985
AUS,Australia,941.1635,75.870731707,1,1986
AUS,Australia,981.6215,76.151707317,1,1987
AUS,Australia,1039.8854,76.432682927,1,1988
AUS,Australia,1091.3294,76.713658537,1,1989
AUS,Australia,1154.0445,76.994634146,1,1990
AUS,Australia,1229.3906,77.275609756,1,1991
AUS,Australia,1307.222,77.378048780,1,1992
AUS,Australia,1381.1135,77.878048780,1,1993
AUS,Australia,1470.8096,77.878048780,1,1994
AUS,Australia,1554.7982,77.829268293,1,1995
AUS,Australia,1645.0156,78.078048780,1,1996
AUS,Australia,1730.7444,78.480487805,1,1997
AUS,Australia,1858.2922,78.631707317,1,1998
AUS,Australia,1986.4928,78.931707317,1,1999
AUS,Australia,2156.808,79.234146341,1,2000
AUS,Australia,2271.4553,79.634146341,1,2001
AUS,Australia,2426.4793,79.936585366,1,2002
AUS,Australia,2546.2803,80.239024390,1,2003
AUS,Australia,2745.6316,80.490243902,1,2004
AUS,Australia,2842.1321,80.841463415,1,2005
AUS,Australia,3023.0978,81.041463415,1,2006
AUS,Australia,3196.226,81.292682927,1,2007
AUS,Australia,3310.1708,81.395121951,1,2008
AUS,Australia,3564.4049,81.543902439,1,2009
AUS,Australia,3607.3407,81.695121951,1,2010
AUS,Australia,3794.0874,81.895121951,1,2011
AUS,Australia,3807.6819,82.046341463,1,2012
AUS,Australia,4176.853,82.148780488,1,2013
AUS,Australia,4206.8516,82.251219512,1,2014
AUT,Austria,186.3145,69.914634146,1,1970
AUT,Austria,201.9619,70.114634146,1,1971
AUT,Austria,222.2858,70.463414634,1,1972
AUT,Austria,249.2017,71.014634146,1,1973
AUT,Austria,295.0659,71.012195122,1,1974
AUT,Austria,412.0627,71.114634146,1,1975
AUT,Austria,471.7179,71.565853659,1,1976
AUT,Austria,521.641,71.914634146,1,1977
AUT,Austria,579.8399,72.012195122,1,1978
AUT,Austria,660.0909,72.312195122,1,1979
AUT,Austria,742.5189,72.463414634,1,1980
AUT,Austria,693.6662,72.812195122,1,1981
AUT,Austria,747.8722,72.960975610,1,1982
AUT,Austria,779.4923,73.012195122,1,1983
AUT,Austria,814.0641,73.612195122,1,1984
AUT,Austria,879.5659,73.814634146,1,1985
AUT,Austria,933.7634,74.317073171,1,1986
AUT,Austria,1015.9254,74.768292683,1,1987
AUT,Austria,1083.2472,75.217073171,1,1988
AUT,Austria,1189.9067,75.265853659,1,1989
AUT,Austria,1507.933,75.568292683,1,1990
AUT,Austria,1608.9806,75.617073171,1,1991
AUT,Austria,1724.7343,75.817073171,1,1992
AUT,Austria,1874.6122,76.068292683,1,1993
AUT,Austria,2041.3374,76.419512195,1,1994
AUT,Austria,2120.4786,76.668292683,1,1995
AUT,Austria,2188.0253,76.870731707,1,1996
AUT,Austria,2298.8535,77.319512195,1,1997
AUT,Austria,2452.2438,77.670731707,1,1998
AUT,Austria,2587.061,77.875609756,1,1999
AUT,Austria,2726.4305,78.126829268,1,2000
AUT,Austria,2772.9361,78.575609756,1,2001
AUT,Austria,2942.5631,78.678048780,1,2002
AUT,Austria,3085.9336,78.631707317,1,2003
AUT,Austria,3260.8522,79.180487805,1,2004
AUT,Austria,3324.0795,79.331707317,1,2005
AUT,Austria,3567.6495,79.880487805,1,2006
AUT,Austria,3718.739,80.180487805,1,2007
AUT,Austria,3964.8495,80.431707317,1,2008
AUT,Austria,4119.7452,80.331707317,1,2009
AUT,Austria,4236.3164,80.580487805,1,2010
AUT,Austria,4362.3426,80.982926829,1,2011
AUT,Austria,4646.4365,80.936585366,1,2012
AUT,Austria,4806.3934,81.136585366,1,2013
AUT,Austria,4895.9992,81.336585366,1,2014
BEL,Belgium,151.4503,70.971951220,1,1970
BEL,Belgium,168.5058,71.060487805,1,1971
BEL,Belgium,191.5558,71.405121951,1,1972
BEL,Belgium,228.2962,71.635365854,1,1973
BEL,Belgium,262.2699,71.985853659,1,1974
BEL,Belgium,352.0285,71.971219512,1,1975
BEL,Belgium,406.3051,72.119756098,1,1976
BEL,Belgium,469.1313,72.773902439,1,1977
BEL,Belgium,531.6262,72.698048780,1,1978
BEL,Belgium,586.8149,73.193658537,1,1979
BEL,Belgium,645.0063,73.207073171,1,1980
BEL,Belgium,750.4773,73.621707317,1,1981
BEL,Belgium,829.7761,73.888048780,1,1982
BEL,Belgium,886.4823,73.869024390,1,1983
BEL,Belgium,919.2787,74.404878049,1,1984
BEL,Belgium,971.0915,74.520243902,1,1985
BEL,Belgium,1033.5016,74.731707317,1,1986
BEL,Belgium,1099.8816,75.365853659,1,1987
BEL,Belgium,1188.2074,75.565853659,1,1988
BEL,Belgium,1262.5005,75.632682927,1,1989
BEL,Belgium,1354.4443,76.051951220,1,1990
BEL,Belgium,1481.8642,76.192195122,1,1991
BEL,Belgium,1569.6355,76.351219512,1,1992
BEL,Belgium,1611.0269,76.345365854,1,1993
BEL,Belgium,1648.9681,76.691707317,1,1994
BEL,Belgium,1710.4518,76.840731707,1,1995
BEL,Belgium,1804.5439,77.187317073,1,1996
BEL,Belgium,1849.8923,77.370731707,1,1997
BEL,Belgium,1920.7638,77.473170732,1,1998
BEL,Belgium,2047.9187,77.619512195,1,1999
BEL,Belgium,2245.8634,77.721951220,1,2000
BEL,Belgium,2366.5965,77.973170732,1,2001
BEL,Belgium,2542.4562,78.075609756,1,2002
BEL,Belgium,2822.6807,78.129268293,1,2003
BEL,Belgium,2913.2791,78.878048780,1,2004
BEL,Belgium,2985.8089,78.980487805,1,2005
BEL,Belgium,3136.9155,79.380487805,1,2006
BEL,Belgium,3286.2254,79.782926829,1,2007
BEL,Belgium,3542.3542,79.680487805,1,2008
BEL,Belgium,3804.7643,79.982926829,1,2009
BEL,Belgium,3901.9126,80.182926829,1,2010
BEL,Belgium,4132.3109,80.585365854,1,2011
BEL,Belgium,4286.4123,80.385365854,1,2012
BEL,Belgium,4485.4804,80.587804878,1,2013
BEL,Belgium,4522.045,80.587804878,1,2014
CAN,Canada,287.4771,72.700487805,1,1970
CAN,Canada,324.0512,73.029268293,1,1971
CAN,Canada,347.9395,72.933902439,1,1972
CAN,Canada,368.6198,73.162682927,1,1973
CAN,Canada,403.0845,73.237560976,1,1974
CAN,Canada,474.4168,73.521707317,1,1975
CAN,Canada,522.4715,73.856097561,1,1976
CAN,Canada,565.5264,74.215609756,1,1977
CAN,Canada,620.3476,74.529756098,1,1978
CAN,Canada,678.4152,74.866341463,1,1979
CAN,Canada,766.2398,75.078048780,1,1980
CAN,Canada,882.5133,75.478536585,1,1981
CAN,Canada,993.885,75.680487805,1,1982
CAN,Canada,1073.7424,76.036341463,1,1983
CAN,Canada,1149.5639,76.317560976,1,1984
CAN,Canada,1232.7336,76.303414634,1,1985
CAN,Canada,1312.9797,76.44,1,1986
CAN,Canada,1372.9816,76.739512195,1,1987
CAN,Canada,1464.7584,76.809268293,1,1988
CAN,Canada,1570.801,77.065609756,1,1989
CAN,Canada,1691.9502,77.377073171,1,1990
CAN,Canada,1828.6897,77.553414634,1,1991
CAN,Canada,1916.4154,77.320731707,1,1992
CAN,Canada,1966.955,77.685121951,1,1993
CAN,Canada,1997.0656,77.861951220,1,1994
CAN,Canada,2001.2318,77.977560976,1,1995
CAN,Canada,2001.8672,78.230487805,1,1996
CAN,Canada,2097.9041,78.480487805,1,1997
CAN,Canada,2245.9346,78.662439024,1,1998
CAN,Canada,2318.9571,78.882926829,1,1999
CAN,Canada,2422.0817,79.236585366,1,2000
CAN,Canada,2609.2285,79.487804878,1,2001
CAN,Canada,2742.4513,79.590243902,1,2002
CAN,Canada,2913.6997,79.839024390,1,2003
CAN,Canada,3076.0005,80.141463415,1,2004
CAN,Canada,3282.4541,80.292682927,1,2005
CAN,Canada,3505.0061,80.418780488,1,2006
CAN,Canada,3675.4766,80.634390244,1,2007
CAN,Canada,3822.6386,80.825365854,1,2008
CAN,Canada,4108.7578,81.111463415,1,2009
CAN,Canada,4242.3395,81.412926829,1,2010
CAN,Canada,4263.4169,81.349292683,1,2011
CAN,Canada,4319.9434,81.562439024,1,2012
CAN,Canada,4502.7427,81.765048780,1,2013
CAN,Canada,4491.7648,81.956609756,1,2014
CHE,Switzerland,345.3678,73.020243902,1,1970
CHE,Switzerland,392.4962,73.130731707,1,1971
CHE,Switzerland,416.6092,73.644390244,1,1972
CHE,Switzerland,455.9513,73.940975610,1,1973
CHE,Switzerland,535.5791,74.287073171,1,1974
CHE,Switzerland,618.5619,74.665609756,1,1975
CHE,Switzerland,669.7635,74.785365854,1,1976
CHE,Switzerland,730.4875,75.238048780,1,1977
CHE,Switzerland,786.1328,75.187317073,1,1978
CHE,Switzerland,882.7052,75.466097561,1,1979
CHE,Switzerland,1007.6518,75.459268293,1,1980
CHE,Switzerland,1123.2798,75.693170732,1,1981
CHE,Switzerland,1194.4246,76.033902439,1,1982
CHE,Switzerland,1310.4866,76.031219512,1,1983
CHE,Switzerland,1346.3352,76.608536585,1,1984
CHE,Switzerland,1434.7317,76.733658537,1,1985
CHE,Switzerland,1519.943,76.899024390,1,1986
CHE,Switzerland,1618.5075,77.197560976,1,1987
CHE,Switzerland,1728.7078,77.226585366,1,1988
CHE,Switzerland,1864.637,77.421219512,1,1989
CHE,Switzerland,1968.0406,77.242439024,1,1990
CHE,Switzerland,2152.7988,77.514634146,1,1991
CHE,Switzerland,2277.882,77.806097561,1,1992
CHE,Switzerland,2329.2126,78.085365854,1,1993
CHE,Switzerland,2411.0169,78.35,1,1994
CHE,Switzerland,2561.8827,78.417073171,1,1995
CHE,Switzerland,2729.1252,78.896097561,1,1996
CHE,Switzerland,2840.3597,79.079512195,1,1997
CHE,Switzerland,2977.7701,79.324390244,1,1998
CHE,Switzerland,3073.2264,79.580487805,1,1999
CHE,Switzerland,3221.7795,79.680487805,1,2000
CHE,Switzerland,3429.1233,80.180487805,1,2001
CHE,Switzerland,3672.9233,80.385365854,1,2002
CHE,Switzerland,3785.126,80.536585366,1,2003
CHE,Switzerland,3935.8776,81.087804878,1,2004
CHE,Switzerland,4015.3331,81.236585366,1,2005
CHE,Switzerland,4251.3673,81.490243902,1,2006
CHE,Switzerland,4567.3285,81.741463415,1,2007
CHE,Switzerland,4933.1,81.992682927,1,2008
CHE,Switzerland,5183.952,82.043902439,1,2009
CHE,Switzerland,5371.4504,82.246341463,1,2010
CHE,Switzerland,5787.6672,82.695121951,1,2011
CHE,Switzerland,6288.6475,82.697560976,1,2012
CHE,Switzerland,6635.2769,82.797560976,1,2013
CHE,Switzerland,6786.5657,82.848780488,1,2014
CHL,Chile,386.4554,74.830390244,1,1995
CHL,Chile,457.4692,75.241609756,1,1996
CHL,Chile,502.2545,75.646365854,1,1997
CHL,Chile,562.7385,76.044658537,1,1998
CHL,Chile,575.2054,76.435975610,1,1999
CHL,Chile,610.4082,76.820829268,1,2000
CHL,Chile,648.7998,77.198707317,1,2001
CHL,Chile,668.9071,77.569585366,1,2002
CHL,Chile,783.3854,77.932975610,1,2003
CHL,Chile,803.8802,78.289390244,1,2004
CHL,Chile,837.7758,78.638292683,1,2005
CHL,Chile,936.2072,78.979170732,1,2006
CHL,Chile,1031.0343,79.313536585,1,2007
CHL,Chile,1097.2873,79.640902439,1,2008
CHL,Chile,1150.0554,79.960804878,1,2009
CHL,Chile,1219.6509,80.275804878,1,2010
CHL,Chile,1358.1965,80.586975610,1,2011
CHL,Chile,1485.319,80.894853659,1,2012
CHL,Chile,1558.4465,81.197926829,1,2013
CHL,Chile,1688.5233,81.496195122,1,2014
CZE,Czech Republic,476.9631,71.383902439,1,1990
CZE,Czech Republic,452.5691,71.898292683,1,1991
CZE,Czech Republic,474.7148,72.271707317,1,1992
CZE,Czech Republic,650.6677,72.767804878,1,1993
CZE,Czech Republic,704.2931,72.972682927,1,1994
CZE,Czech Republic,795.1116,73.074878049,1,1995
CZE,Czech Republic,827.8918,73.714634146,1,1996
CZE,Czech Republic,841.0002,73.824878049,1,1997
CZE,Czech Republic,842.7366,74.514634146,1,1998
CZE,Czech Republic,893.9575,74.668292683,1,1999
CZE,Czech Republic,933.6127,74.968292683,1,2000
CZE,Czech Republic,1041.4699,75.173170732,1,2001
CZE,Czech Republic,1138.5076,75.221951220,1,2002
CZE,Czech Republic,1289.5129,75.170731707,1,2003
CZE,Czech Republic,1342.0659,75.721951220,1,2004
CZE,Czech Republic,1425.1388,75.924390244,1,2005
CZE,Czech Republic,1514.1975,76.524390244,1,2006
CZE,Czech Republic,1608.5877,76.724390244,1,2007
CZE,Czech Republic,1727.9885,76.975609756,1,2008
CZE,Czech Republic,1974.0369,77.078048780,1,2009
CZE,Czech Republic,1879.5815,77.424390244,1,2010
CZE,Czech Republic,2001.2635,77.873170732,1,2011
CZE,Czech Republic,2028.2657,78.075609756,1,2012
CZE,Czech Republic,2330.4702,78.175609756,1,2013
CZE,Czech Republic,2386.3385,78.275609756,1,2014
DEU,Germany,258.1594,70.639780488,1,1970
DEU,Germany,302.1459,70.742878049,1,1971
DEU,Germany,343.7003,70.867,1,1972
DEU,Germany,396.4314,71.016682927,1,1973
DEU,Germany,468.7214,71.195414634,1,1974
DEU,Germany,555.566,71.401731707,1,1975
DEU,Germany,619.4491,71.634146341,1,1976
DEU,Germany,675.8422,71.883682927,1,1977
DEU,Germany,752.8158,72.142804878,1,1978
DEU,Germany,832.6286,72.408536585,1,1979
DEU,Germany,941.1213,72.677902439,1,1980
DEU,Germany,1070.3393,72.952390244,1,1981
DEU,Germany,1110.4089,73.230975610,1,1982
DEU,Germany,1175.1552,73.512146341,1,1983
DEU,Germany,1274.0643,73.792853659,1,1984
DEU,Germany,1372.0026,74.064536585,1,1985
DEU,Germany,1412.8683,74.321634146,1,1986
DEU,Germany,1484.8339,74.559609756,1,1987
DEU,Germany,1620.0093,74.778951220,1,1988
DEU,Germany,1609.1452,74.982682927,1,1989
DEU,Germany,1721.5143,75.177365854,1,1990
DEU,Germany,1907.9949,75.819512195,1,1992
DEU,Germany,1915.2877,75.870731707,1,1993
DEU,Germany,2049.6612,76.270731707,1,1994
DEU,Germany,2185.1405,76.421951220,1,1995
DEU,Germany,2312.0275,76.673170732,1,1996
DEU,Germany,2335.1543,77.073170732,1,1997
DEU,Germany,2405.8643,77.475609756,1,1998
DEU,Germany,2512.7486,77.726829268,1,1999
DEU,Germany,2612.5703,77.926829268,1,2000
DEU,Germany,2730.1828,78.329268293,1,2001
DEU,Germany,2869.9629,78.229268293,1,2002
DEU,Germany,3033.0953,78.380487805,1,2003
DEU,Germany,3099.7712,78.680487805,1,2004
DEU,Germany,3297.0591,78.931707317,1,2005
DEU,Germany,3502.6909,79.131707317,1,2006
DEU,Germany,3660.9349,79.534146341,1,2007
DEU,Germany,3901.418,79.736585366,1,2008
DEU,Germany,4130.7969,79.836585366,1,2009
DEU,Germany,4358.6128,79.987804878,1,2010
DEU,Germany,4510.1751,80.741463415,1,2011
DEU,Germany,4694.681,80.892682927,1,2012
DEU,Germany,4921.8139,80.843902439,1,2013
DEU,Germany,5119.2146,80.843902439,1,2014
DNK,Denmark,364.5805,73.414634146,1,1971
DNK,Denmark,397.7483,73.439024390,1,1972
DNK,Denmark,421.208,73.682195122,1,1973
DNK,Denmark,494.7508,73.808292683,1,1974
DNK,Denmark,547.0066,74.075121951,1,1975
DNK,Denmark,602.9201,73.739756098,1,1976
DNK,Denmark,635.8864,74.632439024,1,1977
DNK,Denmark,703.1093,74.392926829,1,1978
DNK,Denmark,797.9974,74.219268293,1,1979
DNK,Denmark,861.222,74.101707317,1,1980
DNK,Denmark,955.3799,74.230487805,1,1981
DNK,Denmark,1059.2843,74.551219512,1,1982
DNK,Denmark,1103.22,74.420487805,1,1983
DNK,Denmark,1127.0169,74.562195122,1,1984
DNK,Denmark,1205.5467,74.427560976,1,1985
DNK,Denmark,1249.5682,74.579756098,1,1986
DNK,Denmark,1335.6857,74.691219512,1,1987
DNK,Denmark,1405.2498,74.771707317,1,1988
DNK,Denmark,1445.2483,74.799756098,1,1989
DNK,Denmark,1510.6198,74.805365854,1,1990
DNK,Denmark,1559.0867,75.157804878,1,1991
DNK,Denmark,1623.3337,75.194146341,1,1992
DNK,Denmark,1724.5152,75.116829268,1,1993
DNK,Denmark,1802.2229,75.375121951,1,1994
DNK,Denmark,1814.5633,75.212682927,1,1995
DNK,Denmark,1916.8516,75.591463415,1,1996
DNK,Denmark,1990.2833,75.945121951,1,1997
DNK,Denmark,2009.4111,76.139024390,1,1998
DNK,Denmark,2297.6172,76.341463415,1,1999
DNK,Denmark,2395.5167,76.592682927,1,2000
DNK,Denmark,2555.382,76.792682927,1,2001
DNK,Denmark,2749.7927,76.895121951,1,2002
DNK,Denmark,2784.0652,77.143902439,1,2003
DNK,Denmark,2986.9486,77.492682927,1,2004
DNK,Denmark,3096.9831,77.843902439,1,2005
DNK,Denmark,3406.8102,78.095121951,1,2006
DNK,Denmark,3605.2153,78.195121951,1,2007
DNK,Denmark,3892.7375,78.446341463,1,2008
DNK,Denmark,4247.8819,78.597560976,1,2009
DNK,Denmark,4370.3331,79.1,1,2010
DNK,Denmark,4430.6885,79.8,1,2011
DNK,Denmark,4544.8568,80.051219512,1,2012
DNK,Denmark,4708.1321,80.3,1,2013
DNK,Denmark,4857.0285,80.548780488,1,2014
ESP,Spain,88.5521,72.027317073,1,1970
ESP,Spain,109.7235,71.630243902,1,1971
ESP,Spain,129.4614,72.818048780,1,1972
ESP,Spain,142.6334,72.610731707,1,1973
ESP,Spain,177.0384,72.969756098,1,1974
ESP,Spain,200.2777,73.318780488,1,1975
ESP,Spain,240.2397,73.642682927,1,1976
ESP,Spain,273.0869,74.131951220,1,1977
ESP,Spain,294.7268,74.295609756,1,1978
ESP,Spain,313.0721,74.818780488,1,1979
ESP,Spain,351.2603,75.349268293,1,1980
ESP,Spain,390.9626,75.528536585,1,1981
ESP,Spain,425.6855,76.134146341,1,1982
ESP,Spain,461.2502,75.909024390,1,1983
ESP,Spain,467.168,76.295365854,1,1984
ESP,Spain,480.4681,76.259512195,1,1985
ESP,Spain,500.6476,76.510487805,1,1986
ESP,Spain,548.0774,76.728048780,1,1987
ESP,Spain,661.5783,76.747073171,1,1988
ESP,Spain,734.8665,76.813658537,1,1989
ESP,Spain,835.3369,76.837560976,1,1990
ESP,Spain,910.1406,76.971219512,1,1991
ESP,Spain,992.3218,77.41,1,1992
ESP,Spain,1048.008,77.546585366,1,1993
ESP,Spain,1081.2951,77.901463415,1,1994
ESP,Spain,1157.1153,77.980731707,1,1995
ESP,Spain,1215.5878,78.120487805,1,1996
ESP,Spain,1263.021,78.604146341,1,1997
ESP,Spain,1340.5293,78.665853659,1,1998
ESP,Spain,1406.4495,78.717073171,1,1999
ESP,Spain,1490.642,78.965853659,1,2000
ESP,Spain,1574.9689,79.368292683,1,2001
ESP,Spain,1677.5396,79.568292683,1,2002
ESP,Spain,1907.9302,79.619512195,1,2003
ESP,Spain,2014.3386,79.870731707,1,2004
ESP,Spain,2139.3333,80.170731707,1,2005
ESP,Spain,2393.3068,80.821951220,1,2006
ESP,Spain,2570.706,80.873170732,1,2007
ESP,Spain,2795.8694,81.175609756,1,2008
ESP,Spain,2944.6196,81.475609756,1,2009
ESP,Spain,2917.9495,81.626829268,1,2010
ESP,Spain,2956.7857,82.475609756,1,2011
ESP,Spain,2929.3567,82.426829268,1,2012
ESP,Spain,2952.175,83.078048780,1,2013
ESP,Spain,3053.0745,83.078048780,1,2014
EST,Estonia,497.1219,70.063414634,1,1999
EST,Estonia,501.3152,70.417073171,1,2000
EST,Estonia,505.0559,70.258536585,1,2001
EST,Estonia,558.7273,70.904878049,1,2002
EST,Estonia,646.7045,71.317073171,1,2003
EST,Estonia,746.8322,71.909756098,1,2004
EST,Estonia,820.7244,72.568292683,1,2005
EST,Estonia,949.1905,72.691463415,1,2006
EST,Estonia,1098.0087,72.814634146,1,2007
EST,Estonia,1284.4079,73.770731707,1,2008
EST,Estonia,1319.5699,74.824390244,1,2009
EST,Estonia,1334.1851,75.429268293,1,2010
EST,Estonia,1392.1765,76.229268293,1,2011
EST,Estonia,1502.9345,76.326829268,1,2012
EST,Estonia,1623.1936,77.141463415,1,2013
EST,Estonia,1724.51,77.239024390,1,2014
FIN,Finland,166.9996,70.179512195,1,1970
FIN,Finland,190.1923,70.017560976,1,1971
FIN,Finland,216.3275,70.707317073,1,1972
FIN,Finland,235.8708,71.223658537,1,1973
FIN,Finland,260.8435,71.134878049,1,1974
FIN,Finland,315.7781,71.673658537,1,1975
