Outcome,Error rate,Correct Answer,Country,Estimate/Guess,Number of Records,Respondent code,Response Type,Topic
No answer given,No answer given,23,Colombia,,1,101,3,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,5,1,102,2,Early marriage rate in 2015
Over,Greater than 50%,23,Colombia,80,1,103,1,Early marriage rate in 2015
Over,5 to 10%,23,Colombia,25,1,104,2,Early marriage rate in 2015
Over,25 to 50%,23,Colombia,30,1,105,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,106,2,Early marriage rate in 2015
Over,25 to 50%,23,Colombia,30,1,107,3,Early marriage rate in 2015
Under,10 to 25%,23,Colombia,20,1,108,2,Early marriage rate in 2015
Over,5 to 10%,23,Colombia,25,1,109,2,Early marriage rate in 2015
Under,10 to 25%,23,Colombia,20,1,110,2,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,8,1,111,2,Early marriage rate in 2015
Under,10 to 25%,23,Colombia,18,1,112,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,113,3,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,114,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,115,3,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,4,1,116,2,Early marriage rate in 2015
Over,Greater than 50%,23,Colombia,35,1,117,3,Early marriage rate in 2015
Under,Greater than 50%,23,Colombia,10,1,118,2,Early marriage rate in 2015
Over,Greater than 50%,23,Colombia,38,1,119,2,Early marriage rate in 2015
No answer given,No answer given,23,Colombia,,1,120,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,301,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,302,2,Early marriage rate in 2015
Under,25 to 50%,47,India,26,1,303,1,Early marriage rate in 2015
Under,Greater than 50%,47,India,15,1,304,1,Early marriage rate in 2015
Over,25 to 50%,47,India,65,1,305,1,Early marriage rate in 2015
Under,10 to 25%,47,India,40,1,306,2,Early marriage rate in 2015
Over,5 to 10%,47,India,50,1,307,2,Early marriage rate in 2015
Over,25 to 50%,47,India,60,1,308,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,20,1,309,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,20,1,310,2,Early marriage rate in 2015
Under,25 to 50%,47,India,25,1,311,3,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,312,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,313,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,5,1,314,2,Early marriage rate in 2015
Over,5 to 10%,47,India,50,1,315,3,Early marriage rate in 2015
Under,10 to 25%,47,India,40,1,316,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,10,1,317,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,20,1,318,3,Early marriage rate in 2015
Under,25 to 50%,47,India,30,1,319,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,12,1,320,3,Early marriage rate in 2015
Under,Greater than 50%,47,India,21,1,321,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,322,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,5,1,323,2,Early marriage rate in 2015
Under,Greater than 50%,47,India,3,1,324,2,Early marriage rate in 2015
Under,10 to 25%,47,India,42,1,325,2,Early marriage rate in 2015
No answer given,No answer given,47,India,,1,326,3,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,201,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,202,2,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,50,1,203,1,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,40,1,204,2,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,55,1,205,1,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,46,1,206,2,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,60,1,207,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,208,2,Early marriage rate in 2015
Over,Greater than 50%,26,Kenya,40,1,209,2,Early marriage rate in 2015
Under,Greater than 50%,26,Kenya,10,1,210,2,Early marriage rate in 2015
Under,10 to 25%,26,Kenya,20,1,211,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,212,2,Early marriage rate in 2015
Under,10 to 25%,26,Kenya,23,1,213,2,Early marriage rate in 2015
Under,Greater than 50%,26,Kenya,10,1,214,3,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,215,4,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,216,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,217,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,218,2,Early marriage rate in 2015
Under,Greater than 50%,26,Kenya,10,1,219,1,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,220,4,Early marriage rate in 2015
Over,10 to 25%,26,Kenya,30,1,221,2,Early marriage rate in 2015
No answer given,No answer given,26,Kenya,,1,222,2,Early marriage rate in 2015
Under,Greater than 50%,22,Indonesia,2,1,401,1,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,402,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,403,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,404,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,405,3,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,406,3,Early marriage rate in 2015
Under,Greater than 50%,22,Indonesia,1,1,407,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,408,3,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,409,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,410,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,411,2,Early marriage rate in 2015
Under,Greater than 50%,22,Indonesia,10,1,412,1,Early marriage rate in 2015
Over,25 to 50%,22,Indonesia,30,1,413,1,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,414,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,415,2,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,416,2,Early marriage rate in 2015
Over,10 to 25%,22,Indonesia,25,1,417,2,Early marriage rate in 2015
Under,Greater than 50%,22,Indonesia,10,1,418,1,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,419,3,Early marriage rate in 2015
Under,Greater than 50%,22,Indonesia,10,1,420,1,Early marriage rate in 2015
No answer given,No answer given,22,Indonesia,,1,421,3,Early marriage rate in 2015
Under,Greater than 50%,22,Indonesia,5,1,422,1,Early marriage rate in 2015
Under,5 to 10%,32,Senegal,30,1,501,2,Early marriage rate in 2015
Over,25 to 50%,32,Senegal,40,1,502,2,Early marriage rate in 2015
Over,Greater than 50%,32,Senegal,80,1,503,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,504,3,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,505,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,506,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,507,2,Early marriage rate in 2015
Over,10 to 25%,32,Senegal,37,1,508,1,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,509,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,510,3,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,511,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,512,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,513,3,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,514,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,515,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,516,3,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,517,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,518,3,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,519,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,520,2,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,521,3,Early marriage rate in 2015
No answer given,No answer given,32,Senegal,,1,522,2,Early marriage rate in 2015
Under,25 to 50%,21,Colombia,15,1,101,2,Share of seats held by women
Under,25 to 50%,21,Colombia,15,1,102,2,Share of seats held by women
Under,10 to 25%,21,Colombia,18,1,103,1,Share of seats held by women
Over,25 to 50%,21,Colombia,30,1,104,1,Share of seats held by women
Over,10 to 25%,21,Colombia,24,1,105,1,Share of seats held by women
Over,25 to 50%,21,Colombia,27,1,106,2,Share of seats held by women
Over,Greater than 50%,21,Colombia,40,1,107,2,Share of seats held by women
Over,Greater than 50%,21,Colombia,35,1,108,1,Share of seats held by women
Over,Greater than 50%,21,Colombia,33,1,109,2,Share of seats held by women
Under,25 to 50%,21,Colombia,15,1,110,2,Share of seats held by women
Under,25 to 50%,21,Colombia,12,1,111,1,Share of seats held by women
Under,Greater than 50%,21,Colombia,5,1,112,2,Share of seats held by women
Over,25 to 50%,21,Colombia,30,1,113,2,Share of seats held by women
Over,Greater than 50%,21,Colombia,40,1,114,2,Share of seats held by women
Over,25 to 50%,21,Colombia,30,1,115,1,Share of seats held by women
Over,10 to 25%,21,Colombia,25,1,116,2,Share of seats held by women
Under,Greater than 50%,21,Colombia,10,1,117,3,Share of seats held by women
Over,25 to 50%,21,Colombia,30,1,118,2,Share of seats held by women
Under,25 to 50%,21,Colombia,12,1,119,1,Share of seats held by women
Over,25 to 50%,21,Colombia,30,1,120,1,Share of seats held by women
Over,25 to 50%,12,India,15,1,301,1,Share of seats held by women
Over,Greater than 50%,12,India,25,1,302,2,Share of seats held by women
Under,5 to 10%,12,India,11,1,303,1,Share of seats held by women
Over,25 to 50%,12,India,15,1,304,2,Share of seats held by women
No answer given,No answer given,12,India,,1,305,2,Share of seats held by women
Over,Greater than 50%,12,India,33,1,306,1,Share of seats held by women
Correct,Less than 5%,12,India,12,1,307,2,Share of seats held by women
No answer given,No answer given,12,India,,1,308,2,Share of seats held by women
No answer given,No answer given,12,India,,1,309,2,Share of seats held by women
Over,Greater than 50%,12,India,33,1,310,2,Share of seats held by women
Under,10 to 25%,12,India,10,1,311,2,Share of seats held by women
Correct,Less than 5%,12,India,12,1,312,1,Share of seats held by women
Over,Greater than 50%,12,India,30,1,313,1,Share of seats held by women
Over,25 to 50%,12,India,15,1,314,2,Share of seats held by women
Over,Greater than 50%,12,India,25,1,315,2,Share of seats held by women
Over,25 to 50%,12,India,15,1,316,2,Share of seats held by women
Over,Greater than 50%,12,India,18,1,317,2,Share of seats held by women
Over,Greater than 50%,12,India,30,1,318,2,Share of seats held by women
Over,Greater than 50%,12,India,30,1,319,2,Share of seats held by women
Over,Greater than 50%,12,India,30,1,320,1,Share of seats held by women
Under,10 to 25%,12,India,10,1,321,2,Share of seats held by women
Under,Greater than 50%,12,India,5,1,322,2,Share of seats held by women
Under,25 to 50%,12,India,9,1,323,1,Share of seats held by women
Over,25 to 50%,12,India,15,1,324,2,Share of seats held by women
Over,Greater than 50%,12,India,33,1,325,1,Share of seats held by women
Under,10 to 25%,12,India,10,1,326,1,Share of seats held by women
Under,5 to 10%,21,Kenya,19,1,201,1,Share of seats held by women
Over,25 to 50%,21,Kenya,30,1,202,2,Share of seats held by women
Over,Greater than 50%,21,Kenya,50,1,203,1,Share of seats held by women
Over,Greater than 50%,21,Kenya,50,1,204,2,Share of seats held by women
Over,10 to 25%,21,Kenya,25,1,205,2,Share of seats held by women
Over,Less than 5%,21,Kenya,22,1,206,2,Share of seats held by women
Under,5 to 10%,21,Kenya,19,1,207,2,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,208,2,Share of seats held by women
Under,Less than 5%,21,Kenya,20,1,209,2,Share of seats held by women
Over,Greater than 50%,21,Kenya,47,1,210,2,Share of seats held by women
Over,Greater than 50%,21,Kenya,90,1,211,2,Share of seats held by women
Under,10 to 25%,21,Kenya,17,1,212,1,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,213,2,Share of seats held by women
Under,Greater than 50%,21,Kenya,6,1,214,2,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,215,4,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,216,2,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,217,2,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,218,2,Share of seats held by women
Over,Greater than 50%,21,Kenya,66,1,219,1,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,220,4,Share of seats held by women
Over,10 to 25%,21,Kenya,24,1,221,2,Share of seats held by women
No answer given,No answer given,21,Kenya,,1,222,2,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,401,1,Share of seats held by women
Correct,Less than 5%,17,Indonesia,17,1,402,1,Share of seats held by women
No answer given,No answer given,17,Indonesia,,1,403,2,Share of seats held by women
Over,10 to 25%,17,Indonesia,20,1,404,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,405,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,406,1,Share of seats held by women
Correct,Less than 5%,17,Indonesia,17,1,407,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,408,1,Share of seats held by women
Correct,Less than 5%,17,Indonesia,17,1,409,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,410,2,Share of seats held by women
Under,25 to 50%,17,Indonesia,10,1,411,1,Share of seats held by women
Over,10 to 25%,17,Indonesia,20,1,412,1,Share of seats held by women
Under,5 to 10%,17,Indonesia,16,1,413,1,Share of seats held by women
Under,10 to 25%,17,Indonesia,13,1,414,1,Share of seats held by women
Correct,Less than 5%,17,Indonesia,17,1,415,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,416,1,Share of seats held by women
Over,10 to 25%,17,Indonesia,20,1,417,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,418,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,419,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,420,1,Share of seats held by women
Under,25 to 50%,17,Indonesia,10,1,421,1,Share of seats held by women
Over,Greater than 50%,17,Indonesia,30,1,422,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,501,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,502,1,Share of seats held by women
Over,Less than 5%,43,Senegal,45,1,503,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,504,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,505,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,506,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,507,1,Share of seats held by women
Under,5 to 10%,43,Senegal,40,1,508,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,509,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,510,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,511,1,Share of seats held by women
Over,10 to 25%,43,Senegal,49,1,512,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,513,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,514,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,515,1,Share of seats held by women
Over,5 to 10%,43,Senegal,46,1,516,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,517,1,Share of seats held by women
Over,5 to 10%,43,Senegal,46,1,518,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,519,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,520,1,Share of seats held by women
Over,10 to 25%,43,Senegal,50,1,521,1,Share of seats held by women
Over,5 to 10%,43,Senegal,47,1,522,1,Share of seats held by women
Under,Greater than 50%,58,Colombia,25,1,101,2,Female labour force participation rate
Under,25 to 50%,58,Colombia,40,1,102,2,Female labour force participation rate
No answer given,No answer given,58,Colombia,,1,103,2,Female labour force participation rate
Under,10 to 25%,58,Colombia,45,1,104,2,Female labour force participation rate
Under,10 to 25%,58,Colombia,50,1,105,1,Female labour force participation rate
Under,25 to 50%,58,Colombia,35,1,106,2,Female labour force participation rate
Over,Less than 5%,58,Colombia,60,1,107,2,Female labour force participation rate
Under,25 to 50%,58,Colombia,40,1,108,2,Female labour force participation rate
Over,5 to 10%,58,Colombia,63,1,109,2,Female labour force participation rate
Under,5 to 10%,58,Colombia,55,1,110,2,Female labour force participation rate
Over,10 to 25%,58,Colombia,68,1,111,1,Female labour force participation rate
Under,25 to 50%,58,Colombia,43,1,112,1,Female labour force participation rate
Under,10 to 25%,58,Colombia,50,1,113,1,Female labour force participation rate
Under,25 to 50%,58,Colombia,40,1,114,2,Female labour force participation rate
No answer given,No answer given,58,Colombia,,1,115,3,Female labour force participation rate
Under,25 to 50%,58,Colombia,37,1,116,2,Female labour force participation rate
Over,Less than 5%,58,Colombia,60,1,117,2,Female labour force participation rate
Under,25 to 50%,58,Colombia,40,1,118,2,Female labour force participation rate
Under,10 to 25%,58,Colombia,45,1,119,1,Female labour force participation rate
Under,10 to 25%,58,Colombia,45,1,120,1,Female labour force participation rate
No answer given,No answer given,27,India,,1,301,2,Female labour force participation rate
Over,Greater than 50%,27,India,48,1,302,1,Female labour force participation rate
Over,Less than 5%,27,India,28,1,303,1,Female labour force participation rate
No answer given,No answer given,27,India,,1,304,2,Female labour force participation rate
No answer given,No answer given,27,India,,1,305,2,Female labour force participation rate
Over,Greater than 50%,27,India,50,1,306,2,Female labour force participation rate
Over,Greater than 50%,27,India,42,1,307,2,Female labour force participation rate
No answer given,No answer given,27,India,,1,308,3,Female labour force participation rate
No answer given,No answer given,27,India,,1,309,3,Female labour force participation rate
Under,25 to 50%,27,India,20,1,310,2,Female labour force participation rate
Under,25 to 50%,27,India,20,1,311,2,Female labour force participation rate
Under,10 to 25%,27,India,24,1,312,1,Female labour force participation rate
No answer given,No answer given,27,India,,1,313,2,Female labour force participation rate
Over,25 to 50%,27,India,35,1,314,2,Female labour force participation rate
Over,10 to 25%,27,India,30,1,315,2,Female labour force participation rate
Over,Greater than 50%,27,India,60,1,316,2,Female labour force participation rate
Over,Greater than 50%,27,India,70,1,317,2,Female labour force participation rate
Over,25 to 50%,27,India,40,1,318,3,Female labour force participation rate
Over,25 to 50%,27,India,40,1,319,2,Female labour force participation rate
Over,25 to 50%,27,India,40,1,320,2,Female labour force participation rate
Over,25 to 50%,27,India,40,1,321,2,Female labour force participation rate
Over,Greater than 50%,27,India,50,1,322,1,Female labour force participation rate
Under,5 to 10%,27,India,25,1,323,2,Female labour force participation rate
Over,Greater than 50%,27,India,70,1,324,2,Female labour force participation rate
Over,Greater than 50%,27,India,65,1,325,2,Female labour force participation rate
Over,10 to 25%,27,India,30,1,326,1,Female labour force participation rate
Under,25 to 50%,62,Kenya,39,1,201,1,Female labour force participation rate
Under,Greater than 50%,62,Kenya,25,1,202,2,Female labour force participation rate
Over,5 to 10%,62,Kenya,67,1,203,1,Female labour force participation rate
Over,25 to 50%,62,Kenya,80,1,204,2,Female labour force participation rate
Under,10 to 25%,62,Kenya,50,1,205,2,Female labour force participation rate
Under,25 to 50%,62,Kenya,40,1,206,3,Female labour force participation rate
Over,10 to 25%,62,Kenya,70,1,207,2,Female labour force participation rate
No answer given,No answer given,62,Kenya,,1,208,2,Female labour force participation rate
Under,Greater than 50%,62,Kenya,30,1,209,2,Female labour force participation rate
Under,10 to 25%,62,Kenya,50,1,210,2,Female labour force participation rate
Under,10 to 25%,62,Kenya,51,1,211,2,Female labour force participation rate
Under,10 to 25%,62,Kenya,55,1,212,1,Female labour force participation rate
Under,25 to 50%,62,Kenya,40,1,213,2,Female labour force participation rate
Under,10 to 25%,62,Kenya,48,1,214,3,Female labour force participation rate
No answer given,No answer given,62,Kenya,,1,215,2,Female labour force participation rate
No answer given,No answer given,62,Kenya,,1,216,2,Female labour force participation rate
